name,ppv,pph
AFONGIS 150MG B4,"55,10","36,43"
AFONGIS 150MG B7,"92,50","61,13"
AFRICAN PLUM GELS B30,"219,00","153,29"
AGAZ B60 GELS,"96,00","67,20"
AGAZ PEDIATRIQUE 30ML,"89,00","62,30"
AGENOS CP EFFER B32,"95,00","66,50"
AGENOS VITAM CALCI /16 CP,"65,00","45,50"
AGIDERM 2% CREME,"26,20","17,29"
AGIDERM 2% POMMADE,"23,40","15,44"
AGIFENE GEL,"36,20","23,95"
AGINAX 125ML,"76,00","53,21"
AGLIM 1MG B30,"19,00","12,55"
AGLIM 2MG B30,"36,00","23,79"
AGLIM 3MG B30,"51,00","33,70"
AGLIM 4MG B30,"62,90","41,56"
AGLIM 4MG B60,"110,70","73,14"
AGREL 75MG B28,"189,80","125,43"
AGREL 75MG B50,"316,00","222,00"
AIGUILLE RACHI G26,"35,70","25,00"
AIGUILLES RACHI G25,"37,50","25,00"
AINARA GEL VAGINAL,"97,00","67,91"
AINAT B30,"89,50","62,66"
AINAT B60,"149,50","104,66"
AINAT PROTECT BTE/15 SACHETS,"169,50","118,66"
AINAT ROLL-ON 50ML,"99,50","69,66"
AIR LIFT BAIN DE BOUCHE,"64,00","42,67"
AIR LIFT DENTIFRICE,"69,00","46,01"
AIR LIFT SPRAY,"48,00","32,00"
AIRCORT 250 DOSES,"83,00","54,83"
AIRFASTEC 10MG B30,"210,00","138,75"
AIRLIX 1 MG/ 60ML,"25,60","16,93"
AIRLIX 10MG/15CPS BK,"42,80","28,31"
AIRLIX 10MG/30CPS BK,"82,70","54,61"
AKINDEX SIROP ADULTE,"29,40","19,45"
AKINDEX SIROP ENFANT,"18,10","11,98"
AL 110 X 400G,"92,00","78,20"
ALBUNORM 20% 100ML,"1 096,00","796,11"
ALBUTEIN 20% 100ML B1,"1 096,00","796,11"
ALBUTEIN 20% FL 50 ML  B1,"638,00","448,28"
ALCASTERIL 125 ML,"72,00","50,40"
ALCASTERIL 250 ML,"100,00","70,00"
ALCOOL   1 LITRE,"135,00","90,00"
ALCOOL  5LITRE,"473,80","315,90"
ALCOPLUS 250ML,"45,00","31,50"
ALCOPLUS 50ML,"28,50","19,96"
ALDACTAZINE COMP,"39,30","26,00"
ALDACTONE 50MG  BK,"56,80","37,52"
ALDACTONE 75MG/20CPS BK,"103,80","68,60"
ALDOMET 500MG X 30 COMP,"56,20","37,13"
ALDOPA 250MG X 30CP,"35,50","23,45"
ALEPSIA 200MG B50,"44,00","29,08"
ALER-Z  COMP ./ 14 CPS,"39,90","26,36"
ALER-Z  COMP ./ 28 CPS,"77,20","51,00"
ALER-Z  COMP ./7CPS,"21,50","14,20"
ALER-Z /SP,"34,60","22,87"
ALFAMOX 125MG BT 2FL 60ML,"24,90","16,43"
ALFAMOX 1G / 14 STS,"59,90","39,57"
ALFAMOX 1G B24 STS,"90,80","60,03"
ALFAMOX 250MG/5ML B/2 FLS 60ML,"37,70","24,89"
ALFAMOX 500MG B 2FL 60ML,"54,40","35,92"
ALFAMOX 500MG/14 STS,"42,00","27,78"
ALFAPROXINE 250MG/10CPS,"51,40","33,97"
ALFAPROXINE 250MG/20CPS,"90,50","59,83"
ALFAPROXINE 500MG/10CPS,"74,80","49,40"
ALFAPROXINE 500MG/20CPS,"131,60","86,97"
ALFAPROXINE 750MG/10CPS,"170,30","112,53"
ALFATIL 125 MG SIROP BK,"43,50","28,77"
ALFATIL 250 MG SIROP BK,"69,20","45,70"
ALFATIL 500MG/12CPS DIS,"156,50","103,43"
ALFLOREX 10MG B30 CP,"275,00","192,50"
ALFLOREX PLUS GEL B30,"275,00","192,49"
ALGANTIL  10CP EFFE.,"13,90","9,20"
ALGANTIL  20CP EFFE.,"25,00","16,55"
ALGANTIL 200 MG 20 DRAGEES,"18,40","12,17"
ALGANTIL 5% 100G GEL,"68,00","44,96"
ALGANTIL 5% 50G GEL,"40,20","26,55"
ALGANTIL 5% GEL TUBE 25G,"24,60","16,24"
ALGANTIL SIROP.,"20,60","13,59"
ALGIBOM 100ML,"89,00","62,30"
ALGIFAST CREME 60ML,"89,90","62,93"
ALGIK 16 CP,"12,40","8,18"
ALGIK X 20 SACHETS,"20,40","13,49"
ALGIPAN POMMADE TUBE DE 4O G,"13,80","9,10"
ALGIXENE 250 MG X 30 GELULS,"44,80","29,58"
ALGIXENE 500 MG X 12 SUPP,"38,10","25,20"
ALGOFEN 200MG B30,"21,90","14,49"
ALGOFEN 400MG B30,"28,00","18,53"
ALGOFENE FL 150 ML,"15,90","10,50"
ALGOFLEX PLUS GEL 100ML,"89,00","62,30"
ALGOFLEX PLUS GEL 75ML,"78,00","54,60"
ALGOFLEX PLUS ROLL ON 100ML,"89,00","62,30"
ALGOFLEX SPRAY 125ML,"78,00","54,60"
ALGOGEL 100ML,"85,00","59,50"
ALIVIAR 50MG/20GELS,"25,20","16,67"
ALKANAT SOL BUV 100ML,"49,00","34,31"
ALKANAT SOLUTION 200ML,"89,00","62,30"
ALKAPEZIL 10MG B30,"469,00","330,10"
ALKAPEZIL 5MG B30,"278,00","195,39"
ALLEGRA 5MG B14,"37,40","24,74"
ALLEGRA 5MG B28,"65,90","43,51"
ALLERGINE  10MG/10CPS,"26,20","17,29"
ALLERGINE  10MG/30CP,"77,70","51,34"
ALLERGINE 10MG/15CPS,"39,50","26,12"
ALLERGO-COMOD COLLYRE,"54,10","35,74"
ALLERMED ACTIF SPARY,"77,00","53,90"
ALMANTIN 10MG B28,"133,30","88,08"
ALMANTIN 20MG B28,"221,00","146,26"
ALOE FRESH 100ML BLANCHEUR A,"52,40","36,68"
ALOE FRESH MENTH DENTIF A,"52,40","36,68"
ALOE FRESH SENSITIVE DENTIF A,"52,40","36,68"
ALOE FRESH SMILE DENTI A,"42,90","30,00"
ALORA 5MG B10,"27,10","17,93"
ALORA 5MG B20,"48,50","32,07"
ALORA 5MG B30,"73,50","48,54"
ALOXIA 15MG B10,"37,10","24,51"
ALOXIA 15MG B20,"72,60","47,96"
ALOXIA 7.5MG B10,"27,10","17,90"
ALOXIA 7.5MG B20,"49,70","32,86"
ALPERIDE 100MG B30,"84,80","56,00"
ALPERIDE 200MG/30CP,"191,00","126,22"
ALPERIDE 400MG B30,"276,00","182,60"
ALPERIDE 50MG B30,"55,60","36,74"
ALPHA-KADOL POMMADE TUBE 35 GR,"21,20","13,99"
ALPHACLAIR CREME X 50G,"145,00","96,67"
ALPHAGAN 0.2% COLLYRE BK,"85,50","56,50"
ALPRAZ 0.5MG X 28 CPS,"33,40","22,04"
ALPRAZ 1MG X 14 CPS,"33,40","22,04"
ALPRAZOLAM MAPHAR 0.5MG B/30,"29,00","19,15"
ALTEC 10MG/30GELS,"80,00","52,86"
ALTEC 2.5MG/30GELS,"36,90","24,38"
ALTEC 5MG/30GELS,"46,40","30,66"
ALTIAZEM COMP 60 MG BK,"89,00","58,81"
ALUNS GEL 200ML,"76,40","53,48"
ALUNS SPRAY 60ML,"69,80","48,86"
ALVITYL A CROQUER BTE/20 CPS,"93,00","65,10"
ALVITYL ACP B10,"47,00","32,90"
ALVITYL APPETIT SIROP 100ML,"79,50","55,66"
ALVITYL B20 EFFE,"81,00","56,72"
ALVITYL B40 CPS,"116,00","81,20"
ALVITYL DEFENSES SIROP 150ML,"115,00","80,50"
ALVITYL SIROP.,"98,00","68,60"
ALVITYL TONUS B20 EFFER,"100,00","70,01"
ALYSE 150MG B56,"311,00","218,51"
ALYSE 25MG B56,"109,70","72,49"
ALYSE 300MG B56,"450,00","316,14"
ALYSE 75MG B56,"234,00","154,73"
