name,ppv,pph
DERMASEPT PH8 125ML/R,"55,00","38,51"
DERMASEPT PH8 250ML/R,"79,50","55,66"
DERMASEPT SPRAY 125ML/R,"99,00","69,30"
DERMASKIN GEL INTIME 200ML,"79,80","53,21"
DERMAVIT 30ML CREME,"49,00","34,31"
DERMICAL CREME ANTI RIDES 50ML,"129,00","86,00"
DERMICAL CREME DEPIGMENTANTE,"129,00","86,00"
DERMICAL CREME SOLAIRE INVISIB,"125,00","83,34"
DERMICAL SPRAY ANTISEPTIQUE,"92,00","64,40"
DERMICALE CREME CICATRISANTES,"75,00","52,50"
DERMINE 40G PM,"39,00","26,00"
DERMINE CREME GM,"58,50","39,00"
DERMISOJA SOIN INTIME,"120,80","80,57"
DERMOBAIN PM,"67,00","46,91"
DERMOFIX CREME 2% TUBE 30 G,"81,60","53,93"
DERMOFIX GEL 100G BK,"86,70","57,29"
DERMOFIX POUDRE 30G BK,"78,70","51,99"
DERMOFIX SOLUTION,"81,00","53,54"
DERMOPHIL LAIT APAI APRES SOLE,"117,00","78,00"
DERMOPHIL LAIT ECRAN IP 50,"165,00","110,00"
DERMOPURE HYDRA,"251,60","167,72"
DERMOSPRAY 125ML,"125,00","87,50"
DERMOSUN CREME SOLAIRE INVISIB,"91,00","60,67"
DERMOVAL CREME BK,"16,30","10,74"
DERMOVAL GEL,"37,40","24,70"
DEROXAT 20MG CPS B/14 BK,"66,50","43,96"
DESIRET  75UG B28,"39,20","25,93"
DESOMEDINE COLLYRE,"26,10","17,23"
DESYAL 5MG B20,"49,90","32,97"
DESYAL 5MG B30,"73,40","48,51"
DETENSIEL 10 MG BT 30 COMP,"72,00","47,57"
DETOXNER DETOX,"295,00","196,68"
DETOXNER IBS MAINTENANCE,"235,00","156,68"
DETOXNER INTENSE,"295,00","196,68"
DEVALEX 120MG/ 30 CPS,"110,00","72,68"
DEVALEX 120MG/ 60 CPS,"200,00","132,15"
DEVALEX 60 MG / 30 CPS,"55,00","36,34"
DEVALEX 60 MG / 60 CPS,"100,00","66,07"
DEXA GENTAMICIN COLLYRE,"24,30","16,05"
DEXAFREE COLLYRE 30,"72,00","47,60"
DEXELYA 75UG B28,"39,20","25,93"
DEXERYL CREME 250G,"47,70","31,50"
DEXILANT 30MG B14,"107,00","70,73"
DEXILANT 30MG CPS B28,"182,40","120,55"
DEXILANT 60MG CPS B14,"193,10","127,61"
DEXILANT 60MG CPS B28,"269,00","189,03"
DEXKETOPROFENE NORMON 50/2 6AMP,"48,60","32,12"
DI-INDO 100MG/10 SUPPS.,"56,40","37,30"
DI-INDO 25 MG / 30 CPS EFFE,"60,70","40,14"
DI-INDO 25MG/30CPS DISP.,"60,30","39,83"
DI-INDO 50MG/10 SUPPS.,"48,60","32,11"
DI-INDO 50MG/15CPS DIS,"49,50","32,72"
DI-INDO 50MG/15CPS EFFER,"54,20","35,82"
DIABALEX 60MG B30,"38,00","25,10"
DIAFORMINE 1000MG/30CPS,"21,00","13,88"
DIAFORMINE 850MG/30CPS,"18,00","11,89"
DIAMICRON 30MG LM 30CP BK,"54,30","35,85"
DIAMICRON 30MG LM 60CP BK,"89,00","58,81"
DIAMICRON 60MG/30CPS,"44,70","29,54"
DIAMICRON 60MG/60CPS,"78,70","52,00"
DIAMOX BOITE 24CP,"17,80","11,73"
DIANE 21 DRAGEES (26),"48,70","32,17"
DIAPHARM 10MG 5 AMP,"37,20","24,58"
DIAPRIDE M 500MG/2MG B30,"81,20","53,65"
DIARIT  BTS 3 STS,"11,50","7,59"
DIASTER COMPRIMES BK,"32,40","21,42"
DICARVEL 25MG  B30,"88,10","58,22"
DICARVEL 6.25MG B30,"43,80","28,97"
DICETEL  GELULES,"114,30","75,51"
DICLO 100MG / 10 SUP,"25,70","17,02"
DICLO 50MG / 20 CPS,"29,10","19,20"
DICLO 75MG / 6 AMP  IM,"39,10","25,81"
DICLO 75MG/2AMP IM,"14,00","9,26"
DICLOCED COLLYRE,"63,50","41,99"
DICLOMAX 25MG/20CPS,"16,80","11,11"
DICLOMAX LP 100MG  /10GEL,"28,80","19,01"
DICYNONE 25O MG /20COMPS..,"34,30","22,69"
DICYNONE 5OO MG/20COMPS..,"53,30","35,23"
DICYNONE X 6 AMP INJ 2 ML..,"31,60","20,91"
DIENILLE 2MG B21,"67,30","44,48"
DIETAZ SOLUTION 125ML,"75,00","52,50"
DIETY CP,"39,50","26,33"
DIFAL 1%  GEL 20G,"17,10","11,32"
DIFAL 1% GEL TUBE 50,"35,70","23,59"
DIFAL COMP 25MG,"23,20","15,34"
DIFAL COMP 50MG,"41,30","27,29"
DIFAL SUP.ENF 25MG,"11,10","7,35"
DIFAL SUPPOS 100MG AD,"30,30","20,00"
DIFFERINE  CREME  BK,"67,80","44,79"
DIFFERINE GEL BK,"61,70","40,76"
DIFLUCAN 150 MG/1CP BK,"53,70","35,51"
DIFLUCAN 150 MG/4CPS BK,"176,30","116,49"
DIFLUCAN 50MG/7CPS BK,"148,40","98,07"
DIGESTINE X 30 GELULES,"43,00","28,40"
DIGIAFLORE BIO 20*15ML,"277,00","193,91"
DIGOXINE 30 COMPRIMES,"25,00","16,52"
DIGOXINE SOLUTE BUVABLE 60ML,"22,60","14,93"
DILATOR / 200 DOSES BK,"55,00","36,34"
DILATOR ECOSPRAY 300 DOSES,"55,00","36,34"
DILATREND 25MG/30CPS BK,"125,00","82,58"
DILATREND 6.25MG/30CPS BK,"71,10","46,95"
DILOVAC 25MG/30CPS,"72,80","48,10"
DILOVAC 6.25MG / 30CPS,"31,20","20,61"
DILRENE 300 MG X 30 GEL,"139,20","91,97"
DIMAZOL 10MG/50CPS,"44,80","29,63"
DIMIN VITAL B30,"98,00","68,60"
DIOVENOR 600MG B/30 CP,"124,80","82,47"
DIOZINAC CREME KS 40 ML,"178,00","118,68"
DIPICOR 10MG/30CPS BK,"75,90","50,17"
DIPICOR 10MG/60CPS BK,"159,20","105,17"
DIPICOR 5 MG/30CPS,"51,80","34,24"
DIPICOR 5MG/60CPS,"99,00","65,41"
DIPREZAR 50/12.5/30CPS,"114,30","75,54"
DIPREZAR FORT 100/25MG/30CPS,"149,70","98,93"
DIPRIVAN 200MG/20ML B5,"275,00","193,71"
DIPROLENE 0.050% PDE 15 G,"22,30","14,76"
DIPROSALIC POMMADE 30G,"35,10","23,22"
DIPROSONE CREME 15G,"16,20","10,71"
DIPROSONE CREME 30G,"30,40","20,07"
DIPROSONE POMMADE 15G,"22,70","14,97"
DIPROSTENE 1 AMP BK,"52,90","34,93"
DISPAINOL 80MG B10,"18,30","12,07"
DISPAINOL 80MG B20,"32,20","21,25"
DISPAMOX 125 MG SP BK,"23,70","15,65"
DISPAMOX 1G D 14 CP BK,"59,90","39,57"
DISPAMOX 1G/24CP DISP,"90,40","59,76"
DISPAMOX 250 MG SP,"31,40","20,78"
DISPAMOX 500 MG SP,"48,60","32,11"
DISPAMOX 500 MG/12CPS DIS BK,"32,30","21,36"
DISTAT DUO LAIT +GEL,"199,00","139,31"
DISTAT GEL DOUCHE 200ML,"149,00","104,30"
DISTAT LAIT ANTI IRRITATIONS,"99,00","69,30"
DIUREX X 20 COMP.,"68,80","45,45"
DIURIMAT 1.5MG LP / 30 CPS,"30,10","19,87"
DIURIMAT 2.5 MG 30 CPS,"44,00","29,07"
DIVARIUS / 14 CPS BK,"78,20","51,66"
DIVARIUS / 28 CPS BK,"115,10","76,06"
DIVIDO 75MG/20GELS,"48,00","31,75"
DOCETAXEL 20MG BK COOP,"842,00","592,03"
DOCETAXEL 80MG  BK COOP,"2 575,00","2 175,98"
DOCIVOX 125ML,"49,00","34,31"
DOCIVOX 200ML,"69,00","48,30"
DOCIVOX CP B10,"39,00","27,30"
DOCIVOX CP B20,"69,00","48,30"
DOCIVOX SPRAY E+A,"83,00","58,10"
"DOGMATIL 0,5%/125ML SP BK","15,30","10,09"
DOGMATIL 50MG/20GELS BK,"30,80","20,32"
DOIGTIER JETABLE,"24,00","16,00"
DOITIERS,"17,90","12,50"
DOL'S 200 CP,"25,50","17,86"
DOL'S 500 CPS,"40,00","28,00"
DOLAMINE X20 COMPRIMES,"14,30","9,45"
DOLI PEDIATRIC SOLUTE BUVABLE,"16,40","10,81"
DOLI RHUME 16 CPS SECABLES,"17,10","11,33"
DOLICOX 120MG B7,"81,70","53,98"
DOLICOX 60MG B14,"119,50","78,98"
DOLICOX 60MG B7,"65,20","43,07"
DOLICOX 90MG B14,"124,00","81,92"
DOLICOX 90MG B7,"65,90","43,51"
DOLIFEN 400MG B30,"27,10","17,90"
DOLIFEN 600MG B30,"27,20","17,96"
DOLIFEN SUSP BUVABLE 150ML,"19,10","12,60"
DOLIGRIPPE B8 STS,"18,70","12,35"
DOLIPRANE 10 SUPPO 100 MG,"8,10","5,34"
DOLIPRANE 10 SUPPO 150 MG,"9,10","5,99"
DOLIPRANE 10 SUPPO 200 MG,"11,00","7,25"
DOLIPRANE 10 SUPPO 300 MG,"12,00","7,94"
DOLIPRANE 1000MG/10 CPS,"13,10","8,65"
DOLIPRANE 12 SACHET 100MG,"8,10","5,34"
DOLIPRANE 12 SACHET 150MG,"9,10","5,99"
DOLIPRANE 12 SACHET 200MG,"10,50","6,92"
DOLIPRANE 12 SACHET 300MG,"12,00","7,94"
DOLIPRANE 1G / 8CP EFF,"13,70","9,05"
DOLIPRANE 1G SUPPOS ADULTES,"13,40","8,82"
DOLIPRANE 500 16 GELULES,"14,30","9,45"
DOLIPRANE 500 MG 20 COMP,"9,60","6,34"
DOLIPRANE 500 MG X 16 CP EFFE,"14,80","9,76"
DOLIPRANE SACHETS ADULTE,"13,40","8,88"
DOLIPRANE VIT C 500/150/16CP E,"16,80","11,11"
DOLOGEL GEL GINGIVAL,"59,10","39,40"
DOLORAN POMMADE 80G,"184,00","128,80"
DOLOSTOP 100MG SUPP B10,"7,50","4,94"
DOLOSTOP 150MG STS B12,"8,40","5,56"
DOLOSTOP 150MG STS B24,"14,80","9,76"
DOLOSTOP 150MG SUPP B10,"8,40","5,56"
DOLOSTOP 1G / 8 CPS,"9,90","6,55"
DOLOSTOP 1G / 8 CPS EFFER,"13,70","9,05"
DOLOSTOP 200MG STS B12,"10,50","6,92"
DOLOSTOP 200MG STS B24,"18,40","12,17"
DOLOSTOP 200MG SUPPS B10,"9,50","6,29"
DOLOSTOP 300MG STS B12,"12,00","7,90"
DOLOSTOP 300MG STS B24,"21,00","13,91"
DOLOSTOP 300MG SUPPOS B10,"12,00","7,90"
DOLOSTOP 500MG CPS B20,"9,60","6,33"
DOLOSTOP 500MG EFFER B16,"13,50","8,94"
DOLOSTOP PEDIATRIQUE GM SP,"15,50","10,25"
DOLOSTOP PEDIATRIQUE SP PM,"11,40","7,54"
DOLPINE 10MG B30,"75,90","50,17"
DOLPINE 5MG B30,"51,80","34,20"
DOLTRAM 37.52 MG/35 MG  B20,"27,60","18,24"
DOMPELIUM 10MG CP B20,"19,20","12,72"
DOMPELIUM 1MG/ML FL 200ML,"22,90","15,13"
DONA 1500MG B 30 STS,"129,90","85,84"
DONEPEZIL ZENITH 10MG B28,"515,00","340,73"
DONEPEZIL ZENITH 5MG B28,"268,00","188,70"
DONTOMYCINE 1.5M.U.I/16CPS,"45,20","29,86"
DONTOMYCINE 3 M.U.I/10CPS,"64,90","42,90"
DONZEP 10MG/28CPS BK,"438,00","307,94"
DONZEP 5 MG/28CPS BK,"276,00","182,60"
DOPEZIL RANBAXY 10MG/28CPS BK,"438,00","308,09"
DOPEZIL RANBAXY 5MG/28CPS BK,"276,00","182,36"
DORAZ 2% COLLYRE,"89,00","58,77"
DORMIQA GELS B30,"149,00","104,30"
DORNAT 30 GEL,"54,50","38,16"
DORNAT FORTIS B30,"85,00","59,51"
DORNAT PLUS / 30 GELULES,"68,30","47,81"
DORNAT PLUS / 45 GELULES,"84,70","59,29"
DOROMAG,"89,00","62,30"
DORZIL COLLYRE B1,"88,90","58,76"
DORZIMOL COLLYRE CB1,"103,40","68,34"
DOSSANTOS SOL BUVABLE 200ML,"129,00","90,30"
"DOSTINEX 0,5MG/2CPS BK","139,80","92,35"
"DOSTINEX 0,5MG/8CPS BK","358,00","251,53"
DOUCENUIT BANDELETTES ANTI RON,"157,50","105,00"
DOUCENUIT LANGUETTES  ANTI RON,"90,00","60,00"
DOUCENUIT SPRAY GORGE ANTI-RON,"186,00","124,01"
DOUCENUIT SPRAY NASAL ANTI RON,"157,00","104,68"
DOUCIA PLUS 30G PM,"10,20","6,76"
DOUCIA PLUS POMMADE GM,"17,00","11,21"
DOXICAN /20 GELLES BK,"72,40","47,84"
DOXICAN 20 MG/10GELLES BK,"41,10","27,18"
DOXYMYCINE 100MG /10 CPS DISPE,"39,20","25,93"
DOXYMYCINE 100MG /30 CPS DISPE,"102,80","67,92"
DOXYMYCINE 200MG/10 CPS DISP.,"65,40","43,22"
DOZYL  5MG B28,"265,00","175,37"
DOZYL 10MG B28,"438,00","308,09"
DPLUS,"85,50","59,86"
DR YGLO,"160,00","112,02"
DRAIN DE KHER N 10,"67,50","45,00"
DRAIN TORACIQUE,"123,70","82,50"
DRAINASTIM GEL 100ML,"132,00","92,40"
DRENAFAST CELL 40 CPS,"225,00","150,01"
DRENAFAST GEL 200ML,"186,00","124,01"
DRENAFAST ORIGINAL 500ML,"225,00","150,01"
DRILL EXPECTORANT SP ADULTE,"25,50","16,86"
DRILL SP TOUX SECHE S.S ENF,"15,20","10,07"
DRILL TOUX SECHE SS AD SP,"23,40","15,44"
DROP TONIC 5%,"149,00","104,30"
DROPSEPT 10ML,"139,00","97,30"
DROSPA 40MG B20,"25,40","16,79"
DROSPA FORT 80MG B20,"35,70","23,61"
DRY EAR 30ML,"85,00","59,51"
DUALKOPT COLLYRE 5ML,"117,80","77,82"
DUCRAY DIASEPTIL SPRAY 125 ML,"78,00","54,60"
DUCRAY EXOMEGA LAIT 200 ML,"178,00","124,60"
DUCRAY SHAMP SABAL 125ML,"68,30","47,81"
DULASTAN 500MG/2MG/20CPS,"34,60","22,84"
DUO LP PRO 150ML,"115,00","76,68"
DUOFLEX B30,"220,00","154,00"
DUOFLEX B60,"350,00","245,00"
DUORELAX GEL B30,"79,50","55,66"
DUOTRAV COLLYRE 2.5ML,"179,60","118,66"
DUOVISC 1.05ML,"1 142,90","800,00"
DUOXOL  500MG/2MG / 20 CPS,"34,60","22,84"
DUPHALAC 200 ML SP BK,"42,40","28,03"
DUPHASTON 10 MG X 10 COMP.,"44,60","29,48"
DUPHASTON 10 MG X20 COMP,"84,90","56,10"
DURESAN  1AMP INJ 20MG,"5,60","3,71"
DURESAN 40MG X 20CP,"18,30","12,10"
DUROS B30,"89,00","62,30"
DUSPATALIN 200 .,"50,50","33,37"
DUSTA 0.5MG B30,"152,50","100,77"
DVITACARE 200UI GTTS,"49,90","34,91"
DYNATENS B15,"79,50","55,66"
DYNATENS GTTES 30ML,"79,50","55,66"
DYNAVIT 125 ML STIMILANT,"72,00","50,40"
DYNAVIT 200ML SP,"95,00","66,50"
DYNAVIT 30 GELS,"74,80","52,37"
DYSPORT 300U B1,"2 489,00","2 089,98"
EASIGEL GEL 10G,"99,00","69,29"
EASY BABY GAZ 30 ML,"79,00","55,30"
EAU DISTILLEE 5L,"54,60","36,37"
EAU NETTOYANTE BB NATUR,"83,50","55,68"
EAU OXIGENE 1L,"90,00","60,00"
EBIXA 10MG B28,"215,00","142,65"
EBIXA 20MG B28,"347,00","244,20"
ECARTEURS IRIS,"487,00","340,91"
ECINQ 30MG B1,"96,90","64,05"
ECOCLAV 100MG / 12.5 ENFANT,"58,90","38,91"
ECOCLAV 100MG/12.5 NOURISSANT,"34,20","22,60"
ECOCLAV 1G/ 125MG  B12 STS,"82,20","54,30"
ECOCLAV 1G/ 125MG  B16 STS,"108,40","71,60"
ECOCLAV 1G/125MG SACHETS B24,"144,60","95,56"
ECOCLAV 500MG/62.5MG B 12 STS,"54,10","35,78"
ECOCLAV 500MG/62.5MG B 16 STS,"72,70","48,06"
ECOCLAV 500MG/62MG SACHETS B24,"95,30","62,94"
ECOSKIN CREME HAUTE PROTECTION,"146,00","97,33"
ECRAN SOLAIRE RS 50ML,"101,40","67,61"
ECTALER GTTE OCULAIRE,"149,90","104,93"
EDARBI 40MG TAB B28,"155,60","102,80"
EDARBI 80MG TAB B28,"183,10","120,97"
EDARBYCLOR 40MG/12.5MG TAB B28,"203,00","134,34"
EDARBYCLOR 40MG/25MG TAB B28,"203,00","134,34"
EDEDAY,"169,00","118,30"
EDENIGHT,"149,00","104,30"
EFDOL 20CP AD,"13,80","9,14"
EFERVIT CPS,"80,00","55,99"
EFFACLAR CR H,"187,00","124,68"
EFFACLAR EAU DEMAQUILLANTE,"165,00","110,00"
EFFACLAR K,"206,60","137,72"
EFFACLAR MATITE ACTIVE PNE,"180,00","120,00"
EFFERALGAN CP EFF.,"14,90","9,82"
EFFERALGAN SOLUTION,"17,60","11,61"
EFFERALGAN VIT C /20CPS BK,"16,50","10,94"
EFFEXOR LP 37.5MG/30 GELULES,"74,60","49,31"
EFFEXOR LP 75MG/30 GELULES,"94,40","62,38"
EFFICORT HYDROPHIL 30G BK,"37,80","24,98"
EFFICORT LIPOPHIL 30G BK,"37,80","24,98"
EFFIDIGEST EFFER CPS,"109,00","76,30"
EFFIDRATE,"139,00","92,68"
EFFIDRATE TEINTEE,"139,00","92,68"
EFFIPRED 1MG GTTE,"21,60","14,27"
EFFIPRED 20MG/20CP.BK,"40,00","26,42"
EFFIPRED 5MG/30CP.,"23,00","15,20"
EFFORTIL GOUTTES F/30ML,"28,70","18,98"
EFLOXIN 500MG B7,"88,80","58,67"
EISEN B30,"149,00","104,30"
EKINA-C/ 10 STS,"78,50","54,96"
EKINAX GELS B15,"48,30","33,82"
EKINAX GELS B30,"94,30","66,01"
ELGYFLUOR JUNIOR DENTIFRICE,"45,30","31,70"
ELIQUIS 2.5MG B20,"152,00","100,40"
ELIQUIS 2.5MG B60,"349,00","245,20"
ELIQUIS 5MG B20,"152,00","100,40"
ELIQUIS 5MG B60,"349,00","245,20"
ELIXI-AGE GELS B30,"162,00","113,40"
ELLAONE 30MG B1,"135,50","89,52"
ELMEX BB SENSITIVE 100ML,"29,00","19,34"
ELMEX BB SENSITIVE 400ML,"100,00","66,67"
ELMEX BROSSE A DENT GENTLE SOF,"49,00","32,69"
ELMEX DENT SENSITIVE 75ML,"69,00","46,01"
ELMEX DENTIFRICE SENSITIVE WHI,"69,00","46,01"
ELUDRIL SOLUTION F/90ML.,"16,60","10,96"
ELVIA FL 10ML,"130,00","91,01"
ELVIA PLUS FL 10ML,"145,00","101,51"
ELYCHOR 0.03MG/2MG B21,"43,00","28,42"
EMMASEPT PH 5.5 125ML,"48,50","33,96"
EMMASEPT PH 5.5 200ML,"74,00","51,80"
EMMASEPT PH 8 125ML,"49,50","34,66"
EMMASEPT PH 8 200ML,"75,00","52,50"
EMOFLON POMMADE 25G,"77,90","54,54"
EMOFORM HYPERSENSIBLE 50ML,"31,00","21,70"
EMOFORM HYPERSENSIBLE 75ML,"40,00","28,00"
EMOFORM-F 50ML DENTS SENSIBLE,"25,60","17,90"
EMOFORM-F 75ML DENTS SENSIBLE,"40,00","28,00"
ENBREL 25MG PFIZER,"3 810,00","3 510,45"
ENCIFER AMP INJ 5ML,"57,20","37,77"
ENDELLIA GELS B30,"185,00","129,49"
ENDOGEST 2MG B28,"186,50","123,21"
ENDOXAN 1G MG INJ,"89,40","59,05"
ENDOXAN CP,"87,20","57,61"
ENDRIAL LEVRES ROC,"1,00","0,66"
ENERGIQA B30 GELS,"149,00","104,30"
ENERGIQA BTE/10 CPS,"59,00","41,30"
ENERGY 24 / 40 CPS,"135,00","94,50"
ENERGY FORTE / 20 CPS,"135,00","94,50"
ENFACALM APPETIT SP 125ML,"99,00","69,30"
ENFACALM GAZ SP 125ML,"99,00","69,30"
ENFACALM NEZ-GORGE SP 125ML,"99,00","69,30"
ENFACALM SOMMEIL SP 125ML,"99,00","69,30"
ENFACALM VOIES RESPIR SP 125ML,"99,00","69,30"
ENGERIX-B PEDIAT,"74,80","49,42"
ENGERIX-B VACCIN A,"168,20","111,13"
ENOXA 4000UI INJ B2,"110,20","72,82"
ENOXA 6000 UI INJ B2,"134,60","88,93"
ENROUEX SIROP 125ML,"59,50","41,64"
ENROUEX SP 200ML SS,"79,50","55,66"
ENROUEX TABLETTES A SUCER,"45,80","32,06"
ENSURE POUDRE VANILLE 400G,"123,70","82,50"
ENTERAL BT 12 GELULES,"14,80","9,76"
ENTEROBIOTIK 10GELULES,"149,50","104,66"
ENTEROGERMINA 2M  B10 FLACONS,"56,10","37,05"
ENTEROGERMINA 4M B10 FLACONS,"93,40","61,72"
ENTEROVAC 25 DOSES(50ML),"45,00","31,47"
ENZYMIA GELS B15,"198,00","138,60"
ENZYMIA GELS B30,"296,00","207,20"
EOLE DUALE  0.2%,"135,00","94,50"
EOSINE DERMA GENESE 30ML,"34,00","23,81"
EOSINE SATELLIS 2% SPRAY,"28,50","19,96"
EOSINE SATELLIS 60ML,"32,00","22,40"
EPCLUSA 100MG / 400MG B20,"6 000,00","5 700,78"
EPCLUSA 100MG /400MG B28,"6 100,00","5 700,99"
EPHEDRINE SOTHEMA,"110,20","72,84"
EPHEDRYL COMPRIMES,"16,10","10,64"
EPHEDRYL SOL BUV(SIROP) 100ML,"16,70","11,02"
EPIDUO GEL,"137,00","90,52"
EPIGAB 150MG B30,"172,50","121,19"
EPIGAB 75MG B30,"129,00","90,63"
EPINAL B30,"133,00","93,11"
EPISELLE  SOLUTION NETTOYANTE,"125,00","83,33"
EPISOIN 125ML,"65,00","45,50"
EPOTIN 2000UI / 10 AMPS  BK,"1 486,00","1 186,41"
EPOTIN 4000    10 FLACOM,"2 751,00","2 351,20"
EPYCA 150MG B14,"97,30","64,27"
EPYCA 50MG B14,"56,20","37,13"
EPYCA 75MG B14,"68,90","45,51"
ERAXIN 500MG B10,"130,40","86,14"
ERAXIN 500MG B7,"103,70","68,54"
ERECTOR 100MG/B1,"43,00","28,40"
ERECTOR 100MG/B2,"75,70","50,02"
ERECTOR 100MG/B4,"134,60","88,92"
ERECTOR 25MG/B1,"23,40","15,44"
ERECTOR 25MG/B2,"42,00","27,78"
ERECTOR 50MG/B1,"25,20","16,67"
ERECTOR 50MG/B2,"44,40","29,34"
ERECTOR 50MG/B4,"81,30","53,72"
ERGIC 0.5MG/ML FL 60ML,"23,40","15,48"
ERGIC 5MG BTE/14 CPS,"33,60","22,22"
ERGIC 5MG BTE/30 CPS,"65,40","43,22"
ERGIC 5MG BTE/7 CPS,"18,70","12,34"
ERGOGYL 200 00 UI / 1 AMP,"11,20","7,41"
ERISTOP 40,"56,10","37,40"
ERLEADA 60MG BTE/112 CPS,"25 402,00","25 002,63"
ERLUS 5MG /14 CPS,"35,50","23,48"
ERLUS 5MG /28 CPS,"68,60","45,34"
ERLUS 5MG /7CPS,"20,20","13,32"
ERLUS SIROP  60ML,"23,40","15,44"
ERLUS SIROP 100ML,"33,80","22,36"
ERMYZIL 1% CREME 15G,"32,80","21,65"
ERMYZIL 1% CREME GM,"55,40","36,63"
ERMYZIL 250MG COMP B14,"117,60","77,70"
ERMYZIL 250MG COMP B28,"201,00","133,20"
EROCHOL 30 CPS,"95,00","66,50"
EROSTIN 10MG CPS B10,"21,80","14,40"
EROSTIN 10MG CPS B20,"34,90","23,08"
EROSTIN 10MG CPS B30,"47,60","31,47"
ERY 250 X 24 SACHETS,"59,30","39,21"
ERY 500 COMP,"84,60","55,88"
ERYFLUID SOLUTION 100 ML,"62,80","41,48"
ERYZINC  ALPHA BB,"83,50","55,68"
ESAC 20MG/ 14GELS,"76,70","50,67"
ESAC 20MG/ 28GELS,"135,10","89,24"
ESAC 20MG/ 7 GELS,"43,00","28,42"
ESAC 40MG/ 14GELS,"114,80","75,87"
ESAC 40MG/ 28GELS BK,"211,00","139,93"
ESAC 40MG/ 7 GELS,"65,20","43,10"
ESCIPLEX 10MG B14,"67,10","44,33"
ESCIPLEX 10MG B28,"117,70","77,77"
ESCIPLEX 20MG B28,"168,30","111,20"
ESIDREX 25MG /20CPS,"30,60","20,21"
ESMERON 50MG/10AMP  BK,"684,00","481,20"
ESOMYK 150MG B4,"46,70","30,87"
ESOMYK 150MG B8,"82,20","54,33"
ESOPRA 20MG/10 CP,"54,80","36,22"
ESOPRA 20MG/30 CP,"144,70","95,63"
ESOPRA 40MG/10 CP,"80,60","53,28"
ESOPRA 40MG/30 CP,"218,00","144,30"
ESPERAL 100MG B60,"152,50","100,77"
ESPERAL 200MG B60,"270,00","178,71"
ESPERAL 25MG  B60,"90,10","59,56"
ESPERAL 300MG B30,"242,00","160,06"
ESSENTIELE FORTE 300MG,"149,00","99,83"
ESTROFEM NOVO CP /28 CP     BK,"56,20","37,13"
EUCALYPTINE SIROP.,"18,00","11,89"
EUCAPIL ANTI CHUTE,"545,00","381,50"
EUCARBON X 100 COMP,"85,00","56,19"
EUCARBON X 30 COMP,"29,90","19,76"
EUMOXOL 0.3% 125ML,"16,80","11,11"
EUMOXOL 0.3% 250ML,"30,50","20,15"
EUPHON SIROP ADULTE,"19,60","12,96"
EUZOL 20MG B14,"76,70","50,69"
EUZOL 20MG B28,"135,10","89,24"
EUZOL 20MG B7,"43,00","28,42"
EUZOL 40MG B14,"114,80","75,82"
EUZOL 40MG B28,"201,00","133,46"
EUZOL 40MG B7,"64,30","42,46"
EVELINE HYDRA EXPERT,"186,00","124,01"
EVITOP 30MG B1,"41,50","27,42"
EVITOP 30MG B3,"107,10","70,76"
EVITOP 30MG B6,"209,00","138,20"
EVITOP 60MG B1,"41,50","27,42"
EVITOP 60MG B6,"209,00","138,20"
EVOX 500MG B10,"126,20","83,36"
EVOX 500MG B5,"70,20","46,40"
EVOX 500MG B7,"93,60","61,83"
EXACYL 0.5G/5ML/5AMP.INJ..,"98,10","64,84"
EXACYL 250 MG X 20 COMP..,"28,30","18,70"
EXACYL 500 MG X 20 COMP..,"53,20","35,13"
EXEMESTANE  NORMON 25MG B30,"518,00","364,24"
EXEMESTANE ZENITH 25MG B30,"518,00","364,24"
EXFOLIAC PERFECTION CPS,"250,00","166,68"
EXFOLIAC TWIN AC,"299,00","199,36"
EXFORGE FCT  80MG/5 MGX28  BK,"195,00","128,84"
EXFORGE FCT 160MG/10MGX28  BK,"247,00","163,39"
EXFORGE FCT 160MG/5 MGX28  BK,"224,00","148,43"
EXFORGE HCT 160/12.5/5/28  BK,"286,00","201,47"
EXFORGE HCT 160/25/5/28  BK,"286,00","201,58"
EXFORGE HCT160/12.5/10/28CPS B,"310,00","218,12"
EXFORGE HCT160MG/25/10/28CP BK,"310,00","218,12"
EXIDEP 10MG B30,"123,60","81,67"
EXIDEP 20MG B30,"178,20","117,77"
EXIDEP 5MG B30,"74,80","49,40"
EXODERIL CREME 15G,"37,00","24,45"
EXODERYL SOLUTION,"30,70","20,31"
EXOMUC GRANULE 30 SACHETS,"37,30","24,66"
EXTENSION TUBE,"5,50","3,82"
EXTRA LEVURE 125 CPS,"71,40","49,98"
EXTRA LEVURE 375 CPS,"141,90","99,32"
EXTRAFER BTE/30 CPS,"98,00","68,60"
EXTRAFORM SP 100ML,"69,00","48,30"
EXTRAFORM SP 200ML,"87,00","60,90"
EXTRALEVURE BTE/290 CPS,"94,30","66,01"
EXTRALEVURE VITA SELEN,"55,80","39,06"
EXTRAMAG TRIPLE ACTION B30,"95,00","66,50"
EXTRAVIT MULTI BICOUCHE B/15,"55,00","38,51"
EXTRAVIT MULTI BICOUCHE B/30,"98,00","68,60"
EXVALS 10MG/160MG/28 CP,"185,20","122,37"
EXVALS 5MG/160MG/28 CP,"185,20","122,37"
EXVALS PLUS 10MG/160/12.5/28CP,"197,90","130,76"
